MapX,MapY,DataMapX,DataMapY,OutsiderRing,Bin,AxisPosX,AxisPosY,PosX,PosY,Similar,SizeX,sizeY
-19,3,-19,3,2,0,136.450543260519,198.511117927551,0,0,1,3.865,3.46
-20,3,-20,3,1,0,140.315548753684,198.511117927551,0,0,1,3.865,3.46
-21,3,-21,3,1,0,144.180546617453,198.511117927551,0,0,1,3.865,3.46
-22,4,-22,4,1,0,148.042776481262,195.051117889404,0,0,1,3.865,3.46
-21,4,-21,4,2,0,144.177778617492,195.051117889404,0,0,1,3.865,3.46
-20,4,-20,4,2,0,140.312780753723,195.051117889404,0,0,1,3.865,3.46
-19,4,-19,4,3,0,136.447775260559,195.051117889404,0,0,1,3.865,3.46
-18,4,-18,4,4,0,132.582777396789,195.051117889404,0,0,1,3.865,3.46
-17,4,-17,4,4,0,128.71777953302,195.051117889404,0,0,1,3.865,3.46
-16,4,-16,4,4,0,124.852777854553,195.051117889404,0,0,1,3.865,3.46
-15,4,-15,4,5,0,120.987776176086,195.051117889404,0,0,1,3.865,3.46
-14,4,-14,4,5,0,117.122778312317,195.051117889404,0,0,1,3.865,3.46
-13,4,-13,4,5,0,113.25777663385,195.051117889404,0,0,1,3.865,3.46
-12,4,-12,4,5,0,109.39277877008,195.051117889404,0,0,1,3.865,3.46
-11,4,-11,4,6,0,105.527777091614,195.051117889404,0,0,1,3.865,3.46
-10,4,-10,4,6,0,101.662779227844,195.051117889404,0,0,1,3.865,3.46
-9,4,-9,4,6,0,97.7977775493772,195.051117889404,0,0,1,3.865,3.46
-8,4,-8,4,6,0,93.9327777782591,195.051117889404,0,0,1,3.865,3.46
-7,4,-7,4,6,0,90.0677780071409,195.051117889404,0,0,1,3.865,3.46
-6,4,-6,4,6,0,86.2027782360228,195.051117889404,0,0,1,3.865,3.46
-5,4,-5,4,6,0,82.3377784649046,195.051117889404,0,0,1,3.865,3.46
-4,4,-4,4,6,0,78.4727777401121,195.051117889404,0,0,1,3.865,3.46
-3,4,-3,4,5,0,74.6077779689939,195.051117889404,0,0,1,3.865,3.46
-2,4,-2,4,5,0,70.7427777210386,195.051117889404,0,0,1,3.865,3.46
-1,4,-1,4,5,0,66.8777777115019,195.051117889404,0,0,1,3.865,3.46
0,4,0,4,5,0,63.0127777019651,195.051117889404,0,0,1,3.865,3.46
1,4,1,4,4,0,59.1477776924284,195.051117889404,0,0,1,3.865,3.46
2,4,2,4,4,0,55.2827776828916,195.051117889404,0,0,1,3.865,3.46
3,4,3,4,4,0,51.4177774349363,195.051117889404,0,0,1,3.865,3.46
4,4,4,4,3,0,47.5527776638182,195.051117889404,0,0,1,3.865,3.46
5,4,5,4,2,0,43.6877769390257,195.051117889404,0,0,1,3.865,3.46
6,4,6,4,1,0,39.8227771679075,195.051117889404,0,0,1,3.865,3.46
7,4,7,4,1,0,35.9577773967894,195.051117889404,0,0,1,3.865,3.46
8,5,8,5,1,0,32.0900096264735,191.591118804932,0,0,1,3.865,3.46
7,5,7,5,2,0,35.9550093975917,191.591118804932,0,0,1,3.865,3.46
6,5,6,5,2,0,39.8200091687099,191.591118804932,0,0,1,3.865,3.46
5,5,5,5,3,0,43.685008939828,191.591118804932,0,0,1,3.865,3.46
4,5,4,5,4,0,47.5500096646205,191.591118804932,0,0,1,3.865,3.46
3,5,3,5,5,0,51.4150094357387,191.591118804932,0,0,1,3.865,3.46
2,5,2,5,5,0,55.280009683694,191.591118804932,0,0,1,3.865,3.46
1,5,1,5,5,0,59.1450096932307,191.591118804932,0,0,1,3.865,3.46
0,5,0,5,6,0,63.0100097027675,191.591118804932,0,0,1,3.865,3.46
-1,5,-1,5,6,0,66.8750097123042,191.591118804932,0,0,1,3.865,3.46
